scenario,repeat,policy,globalAccuracy,cost,strongRouteRate,routineAccuracy,routineStrongRate,importantAccuracy,importantStrongRate,criticalAccuracy,criticalStrongRate
shifted,0,strong_only,0.9544166666666667,0.02,1,0.9655625971541313,1,0.9366840731070496,1,0.8865619546247818,1
shifted,0,global_threshold,0.966,0.00462,0.03875,0.9869663996173622,0.03049145043644625,0.9481070496083551,0.05907310704960835,0.7556719022687609,0.0506108202443281
shifted,0,stratum_threshold,0.9785833333333334,0.004852,0.05325,0.9869663996173622,0.03049145043644625,0.970626631853786,0.08420365535248042,0.8987783595113438,0.2198952879581152
shifted,0,oracle,0.9960833333333333,0.0050813333333333335,0.06758333333333333,0.9989238311610666,0.041611861772091356,0.9944516971279374,0.10345953002610966,0.9633507853403142,0.2547993019197208
shifted,1,strong_only,0.9495,0.02,1,0.9607512641464002,1,0.9268533772652389,1,0.9119878603945372,1
shifted,1,global_threshold,0.9634166666666667,0.0046106666666666666,0.03816666666666667,0.9853118227787142,0.02564411268962196,0.9509060955518945,0.06820428336079078,0.7450682852807283,0.057663125948406675
shifted,1,stratum_threshold,0.9779166666666667,0.0048653333333333335,0.05408333333333333,0.9853118227787142,0.02564411268962196,0.9739703459637562,0.0929159802306425,0.9028831562974203,0.2336874051593323
shifted,1,oracle,0.9950833333333333,0.005084,0.06775,0.9984348663616662,0.03768360221526607,0.9911037891268534,0.10411861614497529,0.9711684370257967,0.27921092564491656
shifted,2,strong_only,0.9545,0.02,1,0.9645786283133246,1,0.9383333333333334,1,0.8926746166950597,1
shifted,2,global_threshold,0.9633333333333334,0.004645333333333333,0.04033333333333333,0.9837156781171996,0.03090455247830738,0.9493333333333334,0.06,0.7427597955706985,0.07495741056218058
shifted,2,stratum_threshold,0.97675,0.004882666666666667,0.05516666666666667,0.9837156781171996,0.03090455247830738,0.9706666666666667,0.083,0.9080068143100511,0.2606473594548552
shifted,2,oracle,0.9953333333333333,0.005118666666666666,0.06991666666666667,0.9982170450493284,0.04409841911327707,0.993,0.09933333333333333,0.9659284497444633,0.28960817717206133
shifted,3,strong_only,0.9550833333333333,0.02,1,0.9638482578190034,1,0.9375834445927904,1,0.9193277310924369,1
shifted,3,global_threshold,0.9635,0.004653333333333334,0.04083333333333333,0.9831133309549293,0.03020573195385896,0.9449265687583445,0.06241655540720961,0.7798319327731092,0.08235294117647059
shifted,3,stratum_threshold,0.97775,0.0048986666666666675,0.05616666666666666,0.9831133309549293,0.03020573195385896,0.9706275033377837,0.09012016021361816,0.9378151260504202,0.25210084033613445
shifted,3,oracle,0.9954166666666666,0.005124,0.07025,0.9982161969318587,0.04400047568081817,0.9916555407209613,0.10447263017356476,0.9747899159663865,0.2689075630252101
shifted,4,strong_only,0.9535833333333333,0.02,1,0.9648642210576465,1,0.9342105263157895,1,0.8900709219858156,1
shifted,4,global_threshold,0.96575,0.004598666666666667,0.03741666666666667,0.983206288708909,0.028465936160076227,0.9516447368421053,0.060526315789473685,0.7819148936170213,0.04609929078014184
shifted,4,stratum_threshold,0.9771666666666666,0.004798666666666667,0.049916666666666665,0.983206288708909,0.028465936160076227,0.9720394736842105,0.08223684210526316,0.9148936170212766,0.1950354609929078
shifted,4,oracle,0.99525,0.005030666666666667,0.06441666666666666,0.9980943306336351,0.04228203906622201,0.9917763157894737,0.09539473684210527,0.9716312056737588,0.22695035460992907
shifted,5,strong_only,0.9559166666666666,0.02,1,0.9660976483227885,1,0.9414127887512554,1,0.889937106918239,1
shifted,5,global_threshold,0.964,0.004626666666666666,0.03916666666666667,0.982810075205921,0.028530500179061717,0.9564780716437897,0.060595915634415805,0.7515723270440252,0.07861635220125786
shifted,5,stratum_threshold,0.9765,0.004853333333333333,0.05333333333333334,0.982810075205921,0.028530500179061717,0.9762303314362236,0.08168731168396384,0.8946540880503144,0.2468553459119497
shifted,5,oracle,0.9956666666666667,0.005104,0.069,0.9980900083562134,0.042258565118777604,0.9963173752929361,0.0987612989621694,0.960691823899371,0.28144654088050314
shifted,6,strong_only,0.9486666666666667,0.02,1,0.9603712959657266,1,0.9321131447587354,1,0.8665540540540541,1
shifted,6,global_threshold,0.96475,0.004666666666666667,0.041666666666666664,0.9841723194097346,0.03213138164941092,0.9500831946755408,0.06788685524126456,0.7635135135135135,0.04391891891891892
shifted,6,stratum_threshold,0.9775,0.004888,0.0555,0.9841723194097346,0.03213138164941092,0.9720465890183029,0.08985024958402663,0.910472972972973,0.21283783783783783
