scenario,repeat,policy,fieldAccuracy,wholeAccuracy,longAccuracy,criticalAccuracy,approved,falseApproval
mixed-correlated,0,field-average,0.9957155366524894,0.958,0.9265426052889324,0.9956666666666667,1,0
mixed-correlated,0,whole-call,0.9957155366524894,0.958,0.9265426052889324,0.9956666666666667,1,0
mixed-correlated,0,joint-long-schema,0.9957155366524894,0.958,0.9265426052889324,0.9956666666666667,1,0
mixed-correlated,1,field-average,0.9946872736054093,0.9486666666666667,0.9032567049808429,0.9951666666666666,1,1
mixed-correlated,1,whole-call,0.9946872736054093,0.9486666666666667,0.9032567049808429,0.9951666666666666,0,0
mixed-correlated,1,joint-long-schema,0.9946872736054093,0.9486666666666667,0.9032567049808429,0.9951666666666666,0,0
mixed-correlated,2,field-average,0.9948874636979671,0.9466666666666667,0.896584440227704,0.995,1,1
mixed-correlated,2,whole-call,0.9948874636979671,0.9466666666666667,0.896584440227704,0.995,0,0
mixed-correlated,2,joint-long-schema,0.9948874636979671,0.9466666666666667,0.896584440227704,0.995,0,0
mixed-correlated,3,field-average,0.9944584231967409,0.948,0.9051643192488263,0.994,1,1
mixed-correlated,3,whole-call,0.9944584231967409,0.948,0.9051643192488263,0.994,0,0
mixed-correlated,3,joint-long-schema,0.9944584231967409,0.948,0.9051643192488263,0.994,0,0
mixed-correlated,4,field-average,0.994500794329708,0.9486666666666667,0.9174664107485605,0.9943333333333333,1,1
mixed-correlated,4,whole-call,0.994500794329708,0.9486666666666667,0.9174664107485605,0.9943333333333333,0,0
mixed-correlated,4,joint-long-schema,0.994500794329708,0.9486666666666667,0.9174664107485605,0.9943333333333333,0,0
mixed-correlated,5,field-average,0.994991500728509,0.953,0.9195736434108527,0.993,1,0
mixed-correlated,5,whole-call,0.994991500728509,0.953,0.9195736434108527,0.993,1,0
mixed-correlated,5,joint-long-schema,0.994991500728509,0.953,0.9195736434108527,0.993,1,0
mixed-correlated,6,field-average,0.9945447039396084,0.9513333333333334,0.9136490250696379,0.996,1,0
mixed-correlated,6,whole-call,0.9945447039396084,0.9513333333333334,0.9136490250696379,0.996,1,0
mixed-correlated,6,joint-long-schema,0.9945447039396084,0.9513333333333334,0.9136490250696379,0.996,1,0
mixed-correlated,7,field-average,0.9948862260953765,0.9496666666666667,0.9097538742023701,0.9961666666666666,1,1
mixed-correlated,7,whole-call,0.9948862260953765,0.9496666666666667,0.9097538742023701,0.9961666666666666,0,0
mixed-correlated,7,joint-long-schema,0.9948862260953765,0.9496666666666667,0.9097538742023701,0.9961666666666666,0,0
mixed-correlated,8,field-average,0.9943663678216622,0.9466666666666667,0.9019248395967002,0.9921666666666666,1,1
mixed-correlated,8,whole-call,0.9943663678216622,0.9466666666666667,0.9019248395967002,0.9921666666666666,0,0
mixed-correlated,8,joint-long-schema,0.9943663678216622,0.9466666666666667,0.9019248395967002,0.9921666666666666,0,0
mixed-correlated,9,field-average,0.9937689969604864,0.949,0.914396887159533,0.9935,1,1
mixed-correlated,9,whole-call,0.9937689969604864,0.949,0.914396887159533,0.9935,0,0
mixed-correlated,9,joint-long-schema,0.9937689969604864,0.949,0.914396887159533,0.9935,0,0
mixed-correlated,10,field-average,0.995405772076961,0.9576666666666667,0.915615906886518,0.9958333333333333,1,0
mixed-correlated,10,whole-call,0.995405772076961,0.9576666666666667,0.915615906886518,0.9958333333333333,1,0
mixed-correlated,10,joint-long-schema,0.995405772076961,0.9576666666666667,0.915615906886518,0.9958333333333333,1,0
mixed-correlated,11,field-average,0.9949587264150943,0.9486666666666667,0.910665451230629,0.9946666666666667,1,1
mixed-correlated,11,whole-call,0.9949587264150943,0.9486666666666667,0.910665451230629,0.9946666666666667,0,0
mixed-correlated,11,joint-long-schema,0.9949587264150943,0.9486666666666667,0.910665451230629,0.9946666666666667,0,0
mixed-correlated,12,field-average,0.9942496229260935,0.9516666666666667,0.8995943204868154,0.996,1,0
mixed-correlated,12,whole-call,0.9942496229260935,0.9516666666666667,0.8995943204868154,0.996,1,0
mixed-correlated,12,joint-long-schema,0.9942496229260935,0.9516666666666667,0.8995943204868154,0.996,0,0
mixed-correlated,13,field-average,0.9951601120175332,0.9506666666666667,0.9106090373280943,0.9938333333333333,1,0
mixed-correlated,13,whole-call,0.9951601120175332,0.9506666666666667,0.9106090373280943,0.9938333333333333,1,0
mixed-correlated,13,joint-long-schema,0.9951601120175332,0.9506666666666667,0.9106090373280943,0.9938333333333333,1,0
mixed-correlated,14,field-average,0.9947859158385474,0.9473333333333334,0.9001956947162426,0.995,1,1
mixed-correlated,14,whole-call,0.9947859158385474,0.9473333333333334,0.9001956947162426,0.995,0,0
mixed-correlated,14,joint-long-schema,0.9947859158385474,0.9473333333333334,0.9001956947162426,0.995,0,0
mixed-correlated,15,field-average,0.9944639399806389,0.9513333333333334,0.905982905982906,0.9968333333333333,1,0
mixed-correlated,15,whole-call,0.9944639399806389,0.9513333333333334,0.905982905982906,0.9968333333333333,1,0
mixed-correlated,15,joint-long-schema,0.9944639399806389,0.9513333333333334,0.905982905982906,0.9968333333333333,1,0
mixed-correlated,16,field-average,0.9949146385760989,0.9503333333333334,0.9075875486381323,0.9951666666666666,1,0
mixed-correlated,16,whole-call,0.9949146385760989,0.9503333333333334,0.9075875486381323,0.9951666666666666,1,0
mixed-correlated,16,joint-long-schema,0.9949146385760989,0.9503333333333334,0.9075875486381323,0.9951666666666666,1,0
mixed-correlated,17,field-average,0.9943463538517354,0.9453333333333334,0.9090909090909091,0.9938333333333333,1,1
mixed-correlated,17,whole-call,0.9943463538517354,0.9453333333333334,0.9090909090909091,0.9938333333333333,0,0
mixed-correlated,17,joint-long-schema,0.9943463538517354,0.9453333333333334,0.9090909090909091,0.9938333333333333,0,0
mixed-correlated,18,field-average,0.9947734138972809,0.9493333333333334,0.9117920148560817,0.9956666666666667,1,1
mixed-correlated,18,whole-call,0.9947734138972809,0.9493333333333334,0.9117920148560817,0.9956666666666667,0,0
mixed-correlated,18,joint-long-schema,0.9947734138972809,0.9493333333333334,0.9117920148560817,0.9956666666666667,0,0
mixed-correlated,19,field-average,0.9953151618398637,0.9536666666666667,0.9170593779453345,0.9948333333333333,1,0
mixed-correlated,19,whole-call,0.9953151618398637,0.9536666666666667,0.9170593779453345,0.9948333333333333,1,0
mixed-correlated,19,joint-long-schema,0.9953151618398637,0.9536666666666667,0.9170593779453345,0.9948333333333333,1,0
mixed-correlated,20,field-average,0.9949873173088537,0.9503333333333334,0.9152380952380952,0.993,1,0
mixed-correlated,20,whole-call,0.9949873173088537,0.9503333333333334,0.9152380952380952,0.993,1,0
mixed-correlated,20,joint-long-schema,0.9949873173088537,0.9503333333333334,0.9152380952380952,0.993,1,0
mixed-correlated,21,field-average,0.9943410003650968,0.9493333333333334,0.9082926829268293,0.9941666666666666,1,1
mixed-correlated,21,whole-call,0.9943410003650968,0.9493333333333334,0.9082926829268293,0.9941666666666666,0,0
mixed-correlated,21,joint-long-schema,0.9943410003650968,0.9493333333333334,0.9082926829268293,0.9941666666666666,0,0
mixed-correlated,22,field-average,0.9949406620861961,0.9563333333333334,0.908102766798419,0.9953333333333333,1,0
mixed-correlated,22,whole-call,0.9949406620861961,0.9563333333333334,0.908102766798419,0.9953333333333333,1,0
mixed-correlated,22,joint-long-schema,0.9949406620861961,0.9563333333333334,0.908102766798419,0.9953333333333333,1,0
mixed-correlated,23,field-average,0.9946393158155676,0.9513333333333334,0.9085487077534792,0.994,1,0
mixed-correlated,23,whole-call,0.9946393158155676,0.9513333333333334,0.9085487077534792,0.994,1,0
mixed-correlated,23,joint-long-schema,0.9946393158155676,0.9513333333333334,0.9085487077534792,0.994,1,0
mixed-correlated,24,field-average,0.9950512975256488,0.9506666666666667,0.9029217719132894,0.9943333333333333,1,0
mixed-correlated,24,whole-call,0.9950512975256488,0.9506666666666667,0.9029217719132894,0.9943333333333333,1,0
mixed-correlated,24,joint-long-schema,0.9950512975256488,0.9506666666666667,0.9029217719132894,0.9943333333333333,1,0
mixed-correlated,25,field-average,0.9941425120772946,0.944,0.9011406844106464,0.9935,1,1
mixed-correlated,25,whole-call,0.9941425120772946,0.944,0.9011406844106464,0.9935,0,0
mixed-correlated,25,joint-long-schema,0.9941425120772946,0.944,0.9011406844106464,0.9935,0,0
mixed-correlated,26,field-average,0.9947107741225388,0.952,0.9081237911025145,0.9946666666666667,1,0
mixed-correlated,26,whole-call,0.9947107741225388,0.952,0.9081237911025145,0.9946666666666667,1,0
mixed-correlated,26,joint-long-schema,0.9947107741225388,0.952,0.9081237911025145,0.9946666666666667,1,0
mixed-correlated,27,field-average,0.9932924608473959,0.9486666666666667,0.9090047393364928,0.994,1,1
mixed-correlated,27,whole-call,0.9932924608473959,0.9486666666666667,0.9090047393364928,0.994,0,0
mixed-correlated,27,joint-long-schema,0.9932924608473959,0.9486666666666667,0.9090047393364928,0.994,0,0
mixed-correlated,28,field-average,0.9952620846827396,0.9536666666666667,0.9104477611940298,0.9958333333333333,1,0
mixed-correlated,28,whole-call,0.9952620846827396,0.9536666666666667,0.9104477611940298,0.9958333333333333,1,0
mixed-correlated,28,joint-long-schema,0.9952620846827396,0.9536666666666667,0.9104477611940298,0.9958333333333333,1,0
mixed-correlated,29,field-average,0.9949410784430425,0.9486666666666667,0.9064814814814814,0.9965,1,1
mixed-correlated,29,whole-call,0.9949410784430425,0.9486666666666667,0.9064814814814814,0.9965,0,0
mixed-correlated,29,joint-long-schema,0.9949410784430425,0.9486666666666667,0.9064814814814814,0.9965,0,0
mixed-correlated,30,field-average,0.9949136503430329,0.947,0.9142857142857143,0.994,1,1
mixed-correlated,30,whole-call,0.9949136503430329,0.947,0.9142857142857143,0.994,0,0
mixed-correlated,30,joint-long-schema,0.9949136503430329,0.947,0.9142857142857143,0.994,0,0
mixed-correlated,31,field-average,0.9949902841875152,0.956,0.9202279202279202,0.994,1,0
mixed-correlated,31,whole-call,0.9949902841875152,0.956,0.9202279202279202,0.994,1,0
mixed-correlated,31,joint-long-schema,0.9949902841875152,0.956,0.9202279202279202,0.994,1,0
mixed-correlated,32,field-average,0.9940937727162588,0.9486666666666667,0.9084905660377358,0.9943333333333333,1,1
mixed-correlated,32,whole-call,0.9940937727162588,0.9486666666666667,0.9084905660377358,0.9943333333333333,0,0
mixed-correlated,32,joint-long-schema,0.9940937727162588,0.9486666666666667,0.9084905660377358,0.9943333333333333,0,0
mixed-correlated,33,field-average,0.9942846607669616,0.948,0.8960155490767736,0.9953333333333333,1,1
mixed-correlated,33,whole-call,0.9942846607669616,0.948,0.8960155490767736,0.9953333333333333,0,0
mixed-correlated,33,joint-long-schema,0.9942846607669616,0.948,0.8960155490767736,0.9953333333333333,0,0
mixed-correlated,34,field-average,0.9950329107752316,0.951,0.9113300492610837,0.9953333333333333,1,0
mixed-correlated,34,whole-call,0.9950329107752316,0.951,0.9113300492610837,0.9953333333333333,1,0
mixed-correlated,34,joint-long-schema,0.9950329107752316,0.951,0.9113300492610837,0.9953333333333333,1,0
mixed-correlated,35,field-average,0.9937129300118624,0.9446666666666667,0.9028414298808433,0.9933333333333333,1,1
mixed-correlated,35,whole-call,0.9937129300118624,0.9446666666666667,0.9028414298808433,0.9933333333333333,0,0
mixed-correlated,35,joint-long-schema,0.9937129300118624,0.9446666666666667,0.9028414298808433,0.9933333333333333,0,0
mixed-correlated,36,field-average,0.9944323408375696,0.9463333333333334,0.9085872576177285,0.9935,1,1
mixed-correlated,36,whole-call,0.9944323408375696,0.9463333333333334,0.9085872576177285,0.9935,0,0
mixed-correlated,36,joint-long-schema,0.9944323408375696,0.9463333333333334,0.9085872576177285,0.9935,0,0
