workload,rate,repeat,policy,throughputRps,dropRate,meanLatencySeconds,p95LatencySeconds,p99LatencySeconds,p95QueueWaitSeconds,shortP95LatencySeconds,longP95LatencySeconds,sloAttainment,oversubscribedFraction,meanActive
heavy-tail,2.5,0,request-count-16,2.588888888888889,0,0.6094050026334626,3.3924603794736896,6.358182009661192,0,0.5069977489683595,6.358182009661192,0.9814020028612304,0.039587581203234426,1.5335825351018146
heavy-tail,2.5,0,estimated-token-budget,2.588888888888889,0,0.6354260846855594,3.1855590530243205,5.38416139570991,0.8670883222388568,0.9332037731701632,5.38416139570991,0.9871244635193133,0.009191099180619514,1.3407909091539192
heavy-tail,2.5,0,estimated-budget-shortest-first,2.588888888888889,0,0.5643362641973745,3.1347737003854945,5.384161395709903,0,0.4279831984388096,5.384161395709903,0.9828326180257511,0.009188221600290576,1.324021422810033
heavy-tail,2.5,0,underestimated-token-budget,2.588888888888889,0,0.6090125306550195,3.3924603794736896,6.304981622932473,0,0.5069977489683595,6.304981622932473,0.9828326180257511,0.038630077122503555,1.5312333696818006
heavy-tail,2.5,0,overestimated-token-budget,2.588888888888889,0,0.6906535969124419,2.8398220536174392,4.5433604674588395,2.0087571553393957,2.0668017936976923,4.434961274696121,0.9985693848354793,0,0.8896890790886415
heavy-tail,2.5,0,oracle-token-budget,2.588888888888889,0,0.6613950835225072,2.990088995305811,5.280041068657226,1.4968656704154668,1.5885727979227227,5.280041068657226,0.9899856938483548,0,1.2086954461039268
heavy-tail,2.5,1,request-count-16,2.5555555555555554,0,0.5347003177240102,2.616082128969481,5.4552963213499766,0,0.45400000000000773,5.3340520972861185,0.9884057971014493,0.03733674638286447,1.6211453431523537
heavy-tail,2.5,1,estimated-token-budget,2.5555555555555554,0,0.5412018985566185,2.568400823669208,5.305617447959207,0.14774434023223648,0.5088547799890364,4.945703869486806,0.9898550724637681,0.01187690910156221,1.4500045207797598
heavy-tail,2.5,1,estimated-budget-shortest-first,2.5555555555555554,0,0.5222297117696256,2.6175762546476165,5.305617447959179,0,0.42993031242620816,5.107951982897532,0.9884057971014493,0.012763200322233607,1.4405675373468532
heavy-tail,2.5,1,underestimated-token-budget,2.5555555555555554,0,0.5347003177240102,2.616082128969481,5.4552963213499766,0,0.45400000000000773,5.3340520972861185,0.9884057971014493,0.03733674638286447,1.6211453431523537
heavy-tail,2.5,1,overestimated-token-budget,2.5555555555555554,0,0.5775750659961708,2.239862221135155,3.54911213751123,1.4697944762498594,1.4640270699457574,3.3952653277173113,0.9985507246376811,0,0.9092866517488228
heavy-tail,2.5,1,oracle-token-budget,2.5555555555555554,0,0.5402473297219494,2.4877542425213335,4.574092592492946,0.661128527510968,0.7972870990928698,4.1457555570584645,0.9956521739130435,0,1.2515234198406358
heavy-tail,2.5,2,request-count-16,2.637037037037037,0,0.5706042552748021,2.855996512116832,5.102351104820968,0,0.4833137605714626,5.102351104820968,0.9887640449438202,0.015529490299768772,1.4524151576279647
heavy-tail,2.5,2,estimated-token-budget,2.637037037037037,0,0.5803107509546814,2.725736134537982,4.677029001034555,0.2672832729223842,0.603999999999985,4.677029001034555,0.9915730337078652,0.0023570312086248642,1.3360270100496263
heavy-tail,2.5,2,estimated-budget-shortest-first,2.637037037037037,0,0.5473301213655524,2.7465906010464636,4.677029001034555,0,0.44411556359744964,4.677029001034555,0.9901685393258427,0.0023570312086248642,1.3292496559453888
heavy-tail,2.5,2,underestimated-token-budget,2.637037037037037,0,0.5706042552748021,2.855996512116832,5.102351104820968,0,0.4833137605714626,5.102351104820968,0.9887640449438202,0.015529490299768772,1.4524151576279647
heavy-tail,2.5,2,overestimated-token-budget,2.637037037037037,0,0.6040470646991204,2.445623502013966,3.576670850791146,1.5218901619218457,1.5588488694813805,3.5005702343834457,1,0,0.8665564184749409
heavy-tail,2.5,2,oracle-token-budget,2.637037037037037,0,0.5920257916750425,2.659249999999986,4.209070234383489,0.8979720721703472,1.2604275844178687,4.209070234383489,0.9957865168539326,0,1.213119812241556
heavy-tail,2.5,3,request-count-16,2.511111111111111,0,0.4876337367175373,2.487250000000003,5.72847300918491,0,0.4207499999999982,5.770952706748517,0.9896755162241888,0.015292446648418272,1.2542858191717716
heavy-tail,2.5,3,estimated-token-budget,2.511111111111111,0,0.5168015124198004,2.630965722776679,4.5948113772032,0.23137872695647843,0.6427500000000066,4.739970534893203,0.9926253687315634,0.0047615001755472045,1.199250806984706
heavy-tail,2.5,3,estimated-budget-shortest-first,2.511111111111111,0,0.4796940304186235,2.650704182651637,4.5948113772032,0,0.38649999999999807,4.846720534893201,0.9926253687315634,0.004517607884888918,1.1878693303713301
heavy-tail,2.5,3,underestimated-token-budget,2.511111111111111,0,0.4876337367175373,2.487250000000003,5.72847300918491,0,0.4207499999999982,5.770952706748517,0.9896755162241888,0.015292446648418272,1.2542858191717716
heavy-tail,2.5,3,overestimated-token-budget,2.511111111111111,0,0.5327215575139017,2.4526842727846656,3.537752393257591,1.5217288720814395,1.534782026571321,3.537752393257591,0.9985250737463127,0,0.7702664967748357
heavy-tail,2.5,3,oracle-token-budget,2.511111111111111,0,0.5292221135476334,2.585018533571244,4.070607024123831,0.8301166459665694,1.1355146948554307,4.071542863020781,0.995575221238938,0,1.0741023324666321
heavy-tail,2.5,4,request-count-16,2.5444444444444443,0,0.5798567226979541,2.677750262019302,6.35408128566614,0,0.5139619449221513,6.150800521144248,0.9796215429403202,0.03231234942424081,1.561502252888586
heavy-tail,2.5,4,estimated-token-budget,2.5444444444444443,0,0.5976627421541313,2.686141126001246,5.281454052808336,0.6141041374142446,0.7819491585161131,5.048986379657492,0.9883551673944687,0.008104949845517207,1.3712199631757955
heavy-tail,2.5,4,estimated-budget-shortest-first,2.5444444444444443,0,0.5487967019461986,2.6857499999999987,5.464008032068648,0,0.44141218561335904,5.048986379657492,0.9883551673944687,0.006255323610856254,1.3575912002188233
heavy-tail,2.5,4,underestimated-token-budget,2.5444444444444443,0,0.5798567226979541,2.677750262019302,6.35408128566614,0,0.5139619449221513,6.150800521144248,0.9796215429403202,0.03231234942424081,1.561502252888586
heavy-tail,2.5,4,overestimated-token-budget,2.5444444444444443,0,0.6460874273765578,2.707175861938765,4.01423637965749,1.9268541076994836,1.915404445085187,3.9663227531830216,0.9985443959243085,0,0.8742741687438361
heavy-tail,2.5,4,oracle-token-budget,2.5444444444444443,0,0.6358718385738197,2.677750262019302,4.936773669197848,1.4311947128174154,1.6866947128174274,4.899805249271651,0.9912663755458515,0,1.2542916726813282
heavy-tail,2.5,5,request-count-16,2.466666666666667,0,0.5534440503152471,2.962591528138944,6.356008170217663,0,0.43112474901101905,6.356008170217663,0.9744744744744744,0.024021926924472643,1.3493416341406317
heavy-tail,2.5,5,estimated-token-budget,2.466666666666667,0,0.5399493315708592,2.7162856663056516,5.895482645713173,0.23682372696976017,0.527000000000001,5.895482645713173,0.984984984984985,0.00796282467765009,1.1845645993795804
