workload,rate,repeat,requests,mean_tokens,p50_tokens,p95_tokens,p99_tokens,long_fraction
fixed-control,4,78,1168,900,900,900,900,0
fixed-control,4,79,1181,900,900,900,900,0
fixed-control,5.5,0,1656,900,900,900,900,0
fixed-control,5.5,1,1627,900,900,900,900,0
fixed-control,5.5,2,1643,900,900,900,900,0
fixed-control,5.5,3,1649,900,900,900,900,0
fixed-control,5.5,4,1624,900,900,900,900,0
fixed-control,5.5,5,1667,900,900,900,900,0
fixed-control,5.5,6,1690,900,900,900,900,0
fixed-control,5.5,7,1646,900,900,900,900,0
fixed-control,5.5,8,1671,900,900,900,900,0
fixed-control,5.5,9,1624,900,900,900,900,0
fixed-control,5.5,10,1588,900,900,900,900,0
fixed-control,5.5,11,1593,900,900,900,900,0
fixed-control,5.5,12,1674,900,900,900,900,0
fixed-control,5.5,13,1600,900,900,900,900,0
fixed-control,5.5,14,1653,900,900,900,900,0
