scenario,open_p99_ms,closed_p99_ms,corrected_p99_ms,open_slo_pass_rate,closed_slo_pass_rate,open_rps,closed_rps
no-pause-80,21.450676543776353,28.38860422462494,28.485857452629716,1,1,80,79.1
rare-pause-80,353.21457713502605,42.87988696459797,376.660385370742,0,0.534375,80,77.82
bursty-pause-80,751.5541704460702,41.329593926366215,772.1772111003556,0,0.575,80,76.56
bursty-pause-100,795.4835690120017,47.37373289059178,787.1285833339934,0,0.58125,100,93.66
