scenario,policy,hit_rate,p95_ms,p99_ms,p99_queue_ms,worker_cv,slo_pass_rate
uniform-80,random,0.2504513799329378,135.1809241416995,190.4697741210548,143.5695557942381,0.03718160475991016,1
uniform-80,least-loaded,0.25166707829093604,70.95296626695927,83.13143748093717,7.796851457373123,0.009378874229232491,1
uniform-80,prefix-affinity,0.9972534332084894,32.02276112802792,44.15724394326389,24.180483187927166,0.03612084802127609,1
uniform-80,bounded-affinity,0.9861694245492715,32.49559004136245,46.35985167684157,20.048071924160467,0.034824363812012336,1
moderate-hot-120,random,0.5849404662082844,123.07458206265437,178.85865190082404,140.15663031777513,0.02965627351227,1
moderate-hot-120,least-loaded,0.5856054191363251,66.07838780165912,78.97447916316378,8.717316502137692,0.01117872299890995,1
moderate-hot-120,prefix-affinity,0.9967463803481373,4119.2371968347725,4378.378218211306,4362.650085292167,1.1856937184586442,0
moderate-hot-120,bounded-affinity,0.975752508361204,40.97404341069341,54.136711860539435,24.303512181671977,0.7864750996509863,1
extreme-hot-180,random,0.7738600500598541,122.86746360958205,181.97290501640964,152.75762170581947,0.024161340873442436,1
extreme-hot-180,least-loaded,0.773993121047376,60.80712869803028,74.91300502229569,11.69776055321563,0.010657747490948267,1
extreme-hot-180,prefix-affinity,0.9965605236880062,72195.82996635765,75527.2793733601,75513.97041870616,1.8486106723359865,0
extreme-hot-180,bounded-affinity,0.9772522522522522,43.03403221834742,54.6449754573332,24.771102221289766,0.5732624099344674,1
cache-disabled-120,random,0,371.29800508329936,542.0642344853695,490.449709111228,0.02965627351227,0
cache-disabled-120,least-loaded,0,90.49891317653237,111.78937822432272,54.4754935448218,0.006306280006079303,1
cache-disabled-120,prefix-affinity,0,122604.34704533665,131176.62221885432,131133.6010631526,1.1856937184586442,0
cache-disabled-120,bounded-affinity,0,97.68207971190895,119.68753899592957,61.6918288288507,0.08620593219666638,1
