scenario,repeat,policy,requests,cache_hit_rate,mean_latency_ms,p95_latency_ms,p99_latency_ms,p99_queue_ms,max_queue_ms,worker_request_cv,slo_pass
uniform-80,1,random,4113,0.2460491125699003,64.09442931170693,138.8791569062887,189.3675882557436,146.07532256426202,277.5106865374073,0.02488700162183223,true
uniform-80,1,least-loaded,4113,0.2487235594456601,43.68089879882226,71.21534196045832,83.57814375295493,10.801565752371971,25.421299532587,0.006942906841364257,true
uniform-80,1,prefix-affinity,4113,0.9965961585217603,19.22712976004534,33.05269498125563,44.34498976953182,25.319466574466787,65.5947878324223,0.053064799846443876,true
uniform-80,1,bounded-affinity,4113,0.9815220034038414,19.44759811843353,33.76164144456561,51.70465953751955,20.885081092790642,31.415318691284483,0.050604080987045545,true
uniform-80,2,random,3972,0.25075528700906347,62.88080053968072,140.5205689277027,188.5608393740622,140.7675043269919,205.64113963584532,0.044428407517973986,true
uniform-80,2,least-loaded,3972,0.26007049345417926,43.12102271375202,70.71188181301841,83.18377979526122,7.572611446033989,27.381255257772864,0.009708605698237028,true
uniform-80,2,prefix-affinity,3972,0.9984894259818731,18.904200329092554,31.581107514219184,41.21014063131588,22.980779447272653,43.836406322776384,0.028804566640648514,true
uniform-80,2,bounded-affinity,3972,0.9869083585095669,19.14523573092782,32.35369694860128,45.62701168772401,20.47212038355792,24.842257759722997,0.031194073698221983,true
uniform-80,3,random,4042,0.2429490351311232,62.28748640197245,130.84488251855146,180.17745394553276,133.8789790844603,265.0337179488706,0.03309184469468125,true
uniform-80,3,least-loaded,4042,0.2612568035625928,42.913769372416944,71.70487406657048,83.05085794129263,7.841721553088064,31.099870646106865,0.007506492868420558,true
uniform-80,3,prefix-affinity,4042,0.9975259772389906,18.818672731004273,31.043461219487654,43.12789714390237,24.206718888133764,52.530544448549335,0.05513779788116166,true
uniform-80,3,bounded-affinity,4042,0.9839188520534389,19.031706001743057,31.875601141611696,48.419195980892255,19.41280028915571,24.863445580675034,0.048946028797447645,true
uniform-80,4,random,3878,0.24729241877256317,60.66478485090632,127.79374056548477,188.49037211180257,139.08898680661514,290.6122405443457,0.04905215819728604,true
uniform-80,4,least-loaded,3878,0.2478081485301702,43.37506592026178,71.39985212715328,82.6771089053691,4.837632467319054,33.09356096486408,0.009950429854684813,true
uniform-80,4,prefix-affinity,3878,0.9987106756059825,18.876805401580718,31.84772932600754,42.77939652427085,24.24399205881491,47.1980093211605,0.024978295509051958,true
uniform-80,4,bounded-affinity,3878,0.984785972150593,19.064786243637464,32.69038197397458,47.40936973546923,19.84888395050075,24.24399205881491,0.022831208464606914,true
uniform-80,5,random,4009,0.24844100773260164,63.61407502923957,138.80508903742157,215.31427788967267,166.08699874628655,328.577551797709,0.045473057957123426,true
uniform-80,5,least-loaded,4009,0.2531803442254926,43.02861162570645,70.29336536543997,81.15729222217487,3.2879942450999806,20.195451980696816,0.011970601820847535,true
uniform-80,5,prefix-affinity,4009,0.9955101022698928,18.764859825599054,30.798073414411192,46.14343565134914,22.734337129866617,50.20218061537889,0.02722522894444939,true
uniform-80,5,bounded-affinity,4009,0.9837864804190571,18.925482981322688,31.522639737959253,47.90676348445413,19.347622682587826,24.903642229481193,0.027624673897684332,true
uniform-80,6,random,3953,0.24614217050341514,63.21842823257552,137.39766848358704,203.91163799670176,153.48157325158536,284.80119409051986,0.05859166628811594,true
uniform-80,6,least-loaded,3953,0.25828484695168225,43.214339020312565,70.44060437309963,82.42314804229682,4.7019365040250705,24.650359879913594,0.010527190193461563,true
uniform-80,6,prefix-affinity,3953,0.9956994687579054,18.93124262018534,31.785156878628186,43.42147091784318,22.3916388504731,39.23161669381079,0.030246610112605647,true
uniform-80,6,bounded-affinity,3953,0.986592461421705,19.103273605533744,32.2483567790423,45.69156734704302,19.583825420042558,24.716420159973495,0.03097877001847972,true
uniform-80,7,random,3949,0.24892377817168904,61.901050723152835,132.87176620932587,190.54348422452313,142.9017329062699,247.08656690531643,0.04521474757083773,true
uniform-80,7,least-loaded,3949,0.24082046087617118,43.932366457781086,70.98244226299721,82.96897030323817,7.554520132001926,25.946057836879845,0.007029922206962275,true
uniform-80,7,prefix-affinity,3949,0.9982273993416054,19.100144887101713,32.64258863306168,45.01323136626888,25.533222534846573,42.99350295509066,0.0423014904422821,true
uniform-80,7,bounded-affinity,3949,0.9863256520638136,19.224032739747795,33.00917888798358,48.04765182809206,20.865030086773913,24.919123324485554,0.045576348214011325,true
uniform-80,8,random,4097,0.24749816939223823,62.652592928388,137.1933781789885,200.89297023692598,159.1375101802223,247.25137204458224,0.02334276765923172,true
uniform-80,8,least-loaded,4097,0.25677324871857454,43.02578169601625,71.16827086228295,82.83522783080844,6.9273493369764765,26.851595049236494,0.00865331581705508,true
uniform-80,8,prefix-affinity,4097,0.9973151086160605,19.071965609503188,32.14574759993411,48.2911481074043,25.591966331638105,73.93844790903677,0.04135459890891837,true
uniform-80,8,bounded-affinity,4097,0.985843299975592,19.09399405858492,32.511892616759724,48.58339892105869,19.63265813596081,24.90308537346573,0.03523542342831601,true
uniform-80,9,random,4104,0.24537037037037038,63.890748037219964,141.21935934847716,201.77113845480926,169.56305098911253,363.9283323604068,0.026122572299134852,true
uniform-80,9,least-loaded,4104,0.2595029239766082,43.121044710890985,71.68635399454797,83.53864911245546,10.195293627984938,30.61304942305287,0.01027678148206478,true
uniform-80,9,prefix-affinity,4104,0.996832358674464,19.077121195067093,32.77428413800226,44.40475030132802,25.273971921906195,50.683391953523824,0.03774417991362123,true
uniform-80,9,bounded-affinity,4104,0.9809941520467836,19.34532898051478,33.85013823683403,48.550668379773924,20.344882671241066,24.692760459089186,0.03946543980479929,true
uniform-80,10,random,3915,0.248786717752235,62.23182698724419,135.74794773359827,201.24749995504317,145.58965264975996,263.17376566596795,0.02363784013725653,true
uniform-80,10,least-loaded,3915,0.254661558109834,43.16470030932256,70.44606400996418,81.27551765671524,5.2761686454105075,25.606358018849278,0.00494148465664856,true
uniform-80,10,prefix-affinity,3915,0.9982120051085568,18.874142823602185,31.23711616257424,40.84290892347053,21.53832738064375,46.48653491665755,0.035804457922504425,true
uniform-80,10,bounded-affinity,3915,0.9902937420178799,18.985227992902995,31.68890648469096,41.74731572227756,19.6178830768622,24.955205496778945,0.03732663651787329,true
uniform-80,11,random,4049,0.2556186712768585,62.79146156095687,134.4757423634146,186.46364879786415,137.7908220907193,252.0078109120659,0.031159835435560813,true
uniform-80,11,least-loaded,4049,0.25635959496171895,43.39153492686013,71.62936523359531,85.29641648886536,6.9068288501221105,25.418229074712144,0.010417708152430462,true
uniform-80,11,prefix-affinity,4049,0.996789330698938,19.11425189300246,32.70252380443708,44.81520253216513,25.65090844334918,48.93821659527748,0.04453488073455368,true
uniform-80,11,bounded-affinity,4049,0.9861694245492715,19.192584118637658,32.70252380443708,45.67565079453925,19.66351676742852,24.75396329216892,0.04312043361463157,true
uniform-80,12,random,4052,0.2475320829220138,64.3859146843183,141.22726112002783,195.37007570868445,143.79874503741303,233.3909827133357,0.03838391342521796,true
uniform-80,12,least-loaded,4052,0.24111549851924977,43.90726421098232,71.738777800776,83.34912485591121,7.610587097136886,30.516428126080427,0.01026032003941849,true
uniform-80,12,prefix-affinity,4052,0.9970384995064165,19.103141563614614,33.04442855914749,44.74544623276233,24.387712604861008,48.149702432107006,0.04733075157741257,true
uniform-80,12,bounded-affinity,4052,0.9893879565646594,19.07041366781244,32.73950253538351,43.69166973537722,20.667745806284074,24.6807997636206,0.04038326530918479,true
uniform-80,13,random,3926,0.2572592969943963,62.01979309135929,135.56247061636532,186.14879114424548,139.54052690289973,302.4413101515511,0.05073300862298707,true
uniform-80,13,least-loaded,3926,0.2618441161487519,43.10224614475872,71.92366015067455,83.47288411556656,9.212180520444235,30.41130394737411,0.010888468976030784,true
uniform-80,13,prefix-affinity,3926,0.9974528782475802,18.90774675096765,31.45919234707617,46.61662198006525,26.669565122421773,61.042031205564854,0.03356183148943109,true
uniform-80,13,bounded-affinity,3926,0.9834437086092715,19.05760857285621,31.956815798508615,50.495787968429795,20.26085330083879,24.71447642012936,0.030296909797885484,true
uniform-80,14,random,4049,0.26525067918004447,61.343986063586385,129.5953588800403,182.58522692771658,135.38166423236544,273.0775033785976,0.03981639090022743,true
uniform-80,14,least-loaded,4049,0.24005927389478884,43.70808838567353,71.09314407320198,83.37375148337014,10.318049725967285,27.85743512220506,0.006402434344437395,true
uniform-80,14,prefix-affinity,4049,0.9980242035070388,19.133527363641374,32.837407259961765,44.052873870637995,25.587785811760114,54.11274289369794,0.05112296661645378,true
uniform-80,14,bounded-affinity,4049,0.9834527043714497,19.289020506542407,33.419971818322665,49.02355303799777,20.720817289300612,24.896045913692433,0.04949850234066372,true
uniform-80,15,random,3968,0.2578125,62.35240471182955,134.1308125965661,194.86844524702974,148.08356288639516,265.01967844997125,0.02634724392227534,true
uniform-80,15,least-loaded,3968,0.25882056451612906,43.020788531937576,70.2466117041331,81.72841754316323,5.829364234341483,20.649778052167676,0.01297325903522979,true
uniform-80,15,prefix-affinity,3968,0.9954637096774194,18.892760452744454,31.753252440226788,44.335352294740005,23.68226908901488,62.69744017682933,0.0378672304314514,true
uniform-80,15,bounded-affinity,3968,0.9846270161290323,19.036186159387658,32.23935060803342,47.378361279805176,19.586903227442235,24.700900731204456,0.030390531893034117,true
uniform-80,16,random,4019,0.25429211246578753,63.765869713864575,141.81117167790944,197.5845541648887,152.23764768382534,285.625023764107,0.0410480215413264,true
uniform-80,16,least-loaded,4019,0.2634983826822593,43.0573276064509,71.15034220804228,84.34775133663788,5.9240904860635055,24.18009456479922,0.009378874229232491,true
uniform-80,16,prefix-affinity,4019,0.9975118188604131,18.952485605128853,32.17319157790189,41.34229020723615,22.3491039586861,47.89977575840021,0.039851126381547995,true
uniform-80,16,bounded-affinity,4019,0.9878079124160238,19.09304940659446,32.64053997363226,42.31669703876105,19.88520878640702,24.955168683605734,0.036192579687549346,true
uniform-80,17,random,4108,0.247809152872444,64.20587703144052,139.2502885164722,200.1205043486989,153.39488958120637,291.005290581219,0.053894698195117906,true
uniform-80,17,least-loaded,4108,0.24074975657254138,43.94139752607638,71.98778320297424,86.131519946568,12.75755370000843,25.358450171435834,0.00998526704382083,true
uniform-80,17,prefix-affinity,4108,0.9973222979552093,19.086303040077663,32.62271187099395,44.850448394714476,25.05000264084083,59.86272760893189,0.037878545984343176,true
uniform-80,17,bounded-affinity,4108,0.9888023369036028,19.070735190335387,32.42406752613897,45.27955984727305,19.73016700512744,24.59260515441565,0.032697943356766776,true
uniform-80,18,random,4049,0.2524080019757965,63.45697572294481,140.38577114064537,205.83565309963888,158.69907641407917,253.84250159574367,0.047133148906157975,true
uniform-80,18,least-loaded,4049,0.25166707829093604,43.430757640739,70.88835597815341,82.75892757286965,5.449820993249887,22.980502195263398,0.011326715802208934,true
uniform-80,18,prefix-affinity,4049,0.9992590763151395,18.835902882384733,31.24771006077208,42.11392708092171,22.59797629833338,47.830085338391655,0.048125851837598585,true
uniform-80,18,bounded-affinity,4049,0.9913558903432946,18.924157940354956,31.494733609026298,42.73685611158362,20.030776665342273,24.94324439762204,0.049482189321943836,true
uniform-80,19,random,3988,0.24448345035105315,61.1646643455217,131.5688605406067,177.93423170698952,131.30804218626872,191.78377935707977,0.03536753377704096,true
uniform-80,19,least-loaded,3988,0.25501504513540624,43.05655426975087,70.42231290966629,82.13611594792746,7.5641289559571305,49.850228938543296,0.00879547228577066,true
