scenario,repeat,replay,criticalPathP50,criticalPathP95,criticalPathP99,deadlineMissRate,toolSecondsP50,toolSecondsP95,toolSecondsP99,meanPairwiseCorrelation
shared_incident,0,row_preserved,0.3737228927732492,1.3860422272364217,2.676160528368338,0.0434,0.9241445499134244,3.539597889748255,6.076695489429577,0.7000556288581284
shared_incident,0,column_shuffled,0.41794780090098776,1.654994120808232,2.7479767982128984,0.0608,0.9978383399742784,2.430912747486873,3.7009423023343735,-0.002291222962899788
shared_incident,0,incident_stratified,0.37326011867625064,1.4975514276784625,2.7271092705166162,0.05,0.9258127214654619,3.807391257810177,5.664635530388682,0.6115664685152553
shared_incident,1,row_preserved,0.3695836645139366,1.529138992311125,2.9287431755068525,0.0516,0.91857230877625,3.8140615746890347,6.33792753124432,0.7141098625004442
shared_incident,1,column_shuffled,0.42297373361951673,1.7094678056973793,3.0300089635742675,0.0682,1.0083767452054242,2.561596712597685,3.9891055667298603,0.003562731628169353
shared_incident,1,incident_stratified,0.3699492689950544,1.5939903617273028,3.000216313644584,0.0564,0.9174457473694817,3.991161751077715,5.902650343571625,0.6284713246935829
shared_incident,2,row_preserved,0.365650524777139,1.3705469437530626,2.836874992612862,0.0436,0.9112889776759885,3.410781152343411,6.263418635963818,0.7139464772348204
shared_incident,2,column_shuffled,0.41233796716014626,1.65580797623232,2.8709878772765167,0.0618,0.9911165206436232,2.4617659174787856,3.7051326472916766,-0.003057150405505697
shared_incident,2,incident_stratified,0.36343212732971325,1.4752191519024127,2.8481168786727418,0.0494,0.9132012608319691,3.7123793494665667,5.683906230857214,0.6064888646638714
shared_incident,3,row_preserved,0.3678687732406414,1.3905262034619337,2.7505498000677164,0.0458,0.9112304904355285,3.5678552800234016,6.302197883171864,0.6952274211844837
shared_incident,3,column_shuffled,0.4133137373260512,1.6666026870539286,2.7634675622422007,0.062,0.9874755911301569,2.466618228152389,3.666800753381837,-0.002483332525450904
shared_incident,3,incident_stratified,0.3684457191804106,1.4363232544410856,2.7505498000677164,0.0476,0.9136901158503139,3.7128775427743617,5.7738673490054255,0.6346295996394747
shared_incident,4,row_preserved,0.3710882831503425,1.4464546434700678,2.7656291189140894,0.047,0.9231186847699202,3.6642233140058416,6.068654726507336,0.7032609317189743
shared_incident,4,column_shuffled,0.4260373475550344,1.7074706678207974,2.7656291189140894,0.0684,1.0056555395177051,2.498792163957196,3.6572191819767763,-0.005879205368501499
shared_incident,4,incident_stratified,0.36991443758332176,1.5557285767245443,2.762315637504711,0.0538,0.9191849772860081,3.8404964209071055,5.676468460545984,0.6168869854380975
shared_incident,5,row_preserved,0.3671177183322465,1.4161031397177015,2.7360371439706994,0.0454,0.9223811706811422,3.72209304676395,6.202800438899024,0.7033711595433213
shared_incident,5,column_shuffled,0.4180784254633179,1.6874105190441124,2.768122386456587,0.0648,0.9997066977634486,2.480175230390371,3.7789120476333755,-0.004220926947334167
shared_incident,5,incident_stratified,0.36962118108672903,1.535495799419425,2.7670725406479226,0.0512,0.9206312828060325,3.895916667636985,5.812878753209128,0.6147687631041755
shared_incident,6,row_preserved,0.36842727970236555,1.3751557036398034,2.792061013757521,0.0434,0.9190429405503124,3.5282619714179466,6.245514046502038,0.698177619430797
shared_incident,6,column_shuffled,0.40936732700285383,1.6140873746531288,2.823190333998635,0.0582,0.9833967665159037,2.4128372328634606,3.736185713860645,0.004395515151191802
shared_incident,6,incident_stratified,0.3666790132713292,1.4514095828219162,2.792061013757521,0.0472,0.9139839008990805,3.7019228296375974,5.637398538416045,0.618123074574119
