repeat,scenario,policy,parents,successRate,latencyP95,workerSecondsPerParent,orphanSecondsPerParent,orphanShare,maxQueue
0,steady,no_cancel,432,0.3425925925925926,5.907251906524721,16.985309360593213,6.882292679131108,0.4051908936729984,80
0,steady,queued_only,432,0.3912037037037037,5.809206789600864,16.591022474272748,3.4980883737795345,0.21084224189340506,68
0,steady,cooperative_1000ms,432,0.4837962962962963,5.856833530818847,16.0295196415743,0.7671869178908141,0.04786088011652148,67
0,steady,cooperative_250ms,432,0.5115740740740741,5.772646555480748,15.769305716388647,0.194772412677565,0.01235136258885151,66
0,bursty,no_cancel,372,0.27419354838709675,5.800894986018449,17.130919061380414,7.543908335663154,0.4403679865997373,117
0,bursty,queued_only,372,0.33602150537634407,5.7375392998091,15.427122660932557,3.521123921162049,0.2282424272206571,109
0,bursty,cooperative_1000ms,372,0.3736559139784946,5.789840568566262,14.596337095809373,1.5566973888586686,0.10664986555466703,107
0,bursty,cooperative_250ms,372,0.3844086021505376,5.759110941317374,14.274772813128482,0.4296312796067142,0.030097241142190586,106
0,no_timeout_control,no_cancel,471,1,14.053308315848142,17.155923151896936,0,0,85
0,no_timeout_control,queued_only,471,1,14.053308315848142,17.155923151896936,0,0,85
0,no_timeout_control,cooperative_1000ms,471,1,14.053308315848142,17.155923151896936,0,0,85
0,no_timeout_control,cooperative_250ms,471,1,14.053308315848142,17.155923151896936,0,0,85
1,steady,no_cancel,438,0.5228310502283106,5.782141919754594,16.91862865326168,1.334439964580194,0.07887400284791593,54
1,steady,queued_only,438,0.5228310502283106,5.782141919754594,16.91862865326168,1.334439964580194,0.07887400284791593,54
1,steady,cooperative_1000ms,438,0.5639269406392694,5.8213692019425025,16.330106207703857,0.5155441033298169,0.03157016229855289,53
1,steady,cooperative_250ms,438,0.591324200913242,5.814577632993462,16.042950650673415,0.15005750180451863,0.009353485220514586,53
1,bursty,no_cancel,363,0.4380165289256198,5.894657156304035,16.98389412881562,3.4609421106142966,0.2037778900624628,113
1,bursty,queued_only,363,0.46831955922865015,5.894657156304035,16.266795659251763,2.249867185714677,0.13831041053466864,112
1,bursty,cooperative_1000ms,363,0.4820936639118457,5.894657156304035,15.542688228237521,0.9880727677069713,0.06357154909096538,107
1,bursty,cooperative_250ms,363,0.4903581267217631,5.896319635680264,15.243399789653871,0.2718640709167384,0.017834871135588813,101
1,no_timeout_control,no_cancel,455,1,14.950546345146265,17.089533025842844,0,0,104
1,no_timeout_control,queued_only,455,1,14.950546345146265,17.089533025842844,0,0,104
1,no_timeout_control,cooperative_1000ms,455,1,14.950546345146265,17.089533025842844,0,0,104
1,no_timeout_control,cooperative_250ms,455,1,14.950546345146265,17.089533025842844,0,0,104
2,steady,no_cancel,480,0.325,5.804356037254536,16.73792084712419,5.757924280116887,0.34400475021401355,95
2,steady,queued_only,480,0.4,5.782708346769482,16.484163243209544,2.8604947472048248,0.1735298725813803,75
2,steady,cooperative_1000ms,480,0.5166666666666667,5.8049919433842945,15.891607780462286,0.711069342272278,0.044744959232286885,59
2,steady,cooperative_250ms,480,0.5458333333333333,5.813627008545552,15.643471167546,0.19201180013488972,0.012274245151756222,58
2,bursty,no_cancel,380,0.39473684210526316,5.823250414932531,16.675344453317628,4.952822157093955,0.2970146836222367,116
2,bursty,queued_only,380,0.4763157894736842,5.823250414932531,15.583168455047938,2.5431192391346222,0.1631965441733267,116
2,bursty,cooperative_1000ms,380,0.5078947368421053,5.803869458317564,14.937585862819661,1.1949675370033088,0.07999736690904238,108
2,bursty,cooperative_250ms,380,0.5184210526315789,5.803869458317564,14.669426692489196,0.31959121340472657,0.021786210197864007,108
2,no_timeout_control,no_cancel,488,1,16.504176710989356,16.865803584728976,0,0,111
2,no_timeout_control,queued_only,488,1,16.504176710989356,16.865803584728976,0,0,111
2,no_timeout_control,cooperative_1000ms,488,1,16.504176710989356,16.865803584728976,0,0,111
2,no_timeout_control,cooperative_250ms,488,1,16.504176710989356,16.865803584728976,0,0,111
3,steady,no_cancel,477,0.28721174004192873,5.8907933931051275,16.995640489842227,6.663254734416064,0.3920567005637997,119
3,steady,queued_only,477,0.38784067085953877,5.921848142121462,16.34648284181743,3.3469921188931973,0.20475304389828444,83
3,steady,cooperative_1000ms,477,0.4528301886792453,5.890063459281578,15.763417661260004,1.0209951173622094,0.06476990836012647,67
3,steady,cooperative_250ms,477,0.4779874213836478,5.796698067898063,15.495243001706095,0.24396865635243326,0.015744745424487453,60
3,bursty,no_cancel,378,0.373015873015873,5.781133494074368,16.76139376263714,5.5911020509880895,0.3335702346812726,125
3,bursty,queued_only,378,0.42592592592592593,5.781133494074368,15.617164428331023,2.776325753101948,0.17777399769611368,99
3,bursty,cooperative_1000ms,378,0.4470899470899471,5.765837008552239,14.934766915137516,1.297517995131255,0.0868790254648114,95
3,bursty,cooperative_250ms,378,0.4603174603174603,5.781133494074368,14.632849976664586,0.35246329812780774,0.024087125795035885,86
3,no_timeout_control,no_cancel,422,1,10.604482438354822,16.6752623391647,0,0,60
3,no_timeout_control,queued_only,422,1,10.604482438354822,16.6752623391647,0,0,60
3,no_timeout_control,cooperative_1000ms,422,1,10.604482438354822,16.6752623391647,0,0,60
3,no_timeout_control,cooperative_250ms,422,1,10.604482438354822,16.6752623391647,0,0,60
4,steady,no_cancel,435,0.5080459770114942,5.8837329689696745,16.817841021356053,1.506103912657534,0.08955393922115301,49
4,steady,queued_only,435,0.5080459770114942,5.8837329689696745,16.817841021356053,1.506103912657534,0.08955393922115301,49
4,steady,cooperative_1000ms,435,0.5586206896551724,5.835746380287162,16.229520722628415,0.49483299839834166,0.030489686470433375,44
4,steady,cooperative_250ms,435,0.5885057471264368,5.881979646269016,15.964050386372579,0.1380975578245543,0.008650533823323356,36
4,bursty,no_cancel,379,0.36147757255936674,5.801439066379913,17.001233163429887,4.865553987564168,0.2861882982718046,83
4,bursty,queued_only,379,0.39841688654353563,5.804567404671218,16.324478379523885,2.9626524484423653,0.18148527503080764,71
4,bursty,cooperative_1000ms,379,0.45646437994722955,5.880802818557527,15.482401436438337,1.162161665101832,0.07506339826369872,65
4,bursty,cooperative_250ms,379,0.48548812664907653,5.815046083788047,15.13295950538637,0.29769282687087956,0.019671818110986148,62
4,no_timeout_control,no_cancel,466,1,12.078284400725465,17.03534528297236,0,0,82
4,no_timeout_control,queued_only,466,1,12.078284400725465,17.03534528297236,0,0,82
4,no_timeout_control,cooperative_1000ms,466,1,12.078284400725465,17.03534528297236,0,0,82
4,no_timeout_control,cooperative_250ms,466,1,12.078284400725465,17.03534528297236,0,0,82
5,steady,no_cancel,450,0.44666666666666666,5.79608726576285,17.031165982284598,2.663735801086682,0.15640360758960573,64
5,steady,queued_only,450,0.48444444444444446,5.824215794455739,16.88605373971288,2.1360774588990785,0.12649950615017994,62
5,steady,cooperative_1000ms,450,0.54,5.83779053207877,16.2261076123781,0.6027790009952336,0.03714871214926512,55
5,steady,cooperative_250ms,450,0.5644444444444444,5.853941548870722,15.97372438919444,0.1601135662665853,0.010023558837342622,49
5,bursty,no_cancel,388,0.327319587628866,5.858563344779981,16.697232738402978,6.256274574907886,0.3746893076790324,145
5,bursty,queued_only,388,0.3917525773195876,5.890958850060386,15.142892296910922,3.3926111024145076,0.22403983571266525,127
5,bursty,cooperative_1000ms,388,0.41494845360824745,5.858563344779981,14.372875303154109,1.5095916589654812,0.10503059597505889,122
5,bursty,cooperative_250ms,388,0.4381443298969072,5.858563344779981,14.064799274591238,0.3936943937553722,0.02799146906181596,107
5,no_timeout_control,no_cancel,495,1,21.39817204187659,16.894490759593168,0,0,159
5,no_timeout_control,queued_only,495,1,21.39817204187659,16.894490759593168,0,0,159
5,no_timeout_control,cooperative_1000ms,495,1,21.39817204187659,16.894490759593168,0,0,159
5,no_timeout_control,cooperative_250ms,495,1,21.39817204187659,16.894490759593168,0,0,159
6,steady,no_cancel,461,0.40130151843817785,5.755979516665292,17.28057591803153,3.407632825159115,0.1971944014668746,70
6,steady,queued_only,461,0.41431670281995664,5.763333733721311,17.149302373902202,2.550701349003108,0.14873499186093794,63
6,steady,cooperative_1000ms,461,0.4924078091106291,5.755979516665292,16.377742922776406,0.7116016930814002,0.04344931389121886,53
6,steady,cooperative_250ms,461,0.5119305856832972,5.744638409099849,16.0901062567389,0.187309866802439,0.011641307012748247,49
6,bursty,no_cancel,380,0.35,5.872665351042757,17.234323386313616,5.8223806577670985,0.3378363355065541,87
6,bursty,queued_only,380,0.3894736842105263,5.854202877096498,16.19802882030724,3.538060263847543,0.2184253592271627,87
6,bursty,cooperative_1000ms,380,0.41842105263157897,5.845705745089049,15.258894446462934,1.3571170160331816,0.08893940650777397,76
6,bursty,cooperative_250ms,380,0.43157894736842106,5.828408857062186,14.931768797913666,0.3412160740211765,0.022851684796301744,74
6,no_timeout_control,no_cancel,441,1,10.050753188840702,16.495136675923206,0,0,58
6,no_timeout_control,queued_only,441,1,10.050753188840702,16.495136675923206,0,0,58
6,no_timeout_control,cooperative_1000ms,441,1,10.050753188840702,16.495136675923206,0,0,58
6,no_timeout_control,cooperative_250ms,441,1,10.050753188840702,16.495136675923206,0,0,58
7,steady,no_cancel,447,0.4541387024608501,5.887533981654187,16.863475422270263,3.1028040235077055,0.18399552558484336,72
7,steady,queued_only,447,0.4720357941834452,5.878019544249071,16.62995523161318,1.9993078898799403,0.12022328755758163,61
7,steady,cooperative_1000ms,447,0.5234899328859061,5.860744141577769,16.099619158355374,0.6718831542193684,0.04173286011369249,52
7,steady,cooperative_250ms,447,0.5525727069351231,5.834087595757666,15.836403377788367,0.1731226521790094,0.010931942566064319,52
7,bursty,no_cancel,390,0.3717948717948718,5.8565616909600635,16.88519878427608,6.236028561099465,0.36931922690223884,141
7,bursty,queued_only,390,0.41794871794871796,5.8565616909600635,15.267449873895867,3.182764257098539,0.20846731336189925,119
7,bursty,cooperative_1000ms,390,0.441025641025641,5.834364335083876,14.513234603455716,1.4422376468238873,0.0993739635739423,117
7,bursty,cooperative_250ms,390,0.44871794871794873,5.834364335083876,14.217174995723443,0.3982806804363831,0.028014052057190462,102
7,no_timeout_control,no_cancel,480,1,13.693030902908106,16.93338245585846,0,0,91
7,no_timeout_control,queued_only,480,1,13.693030902908106,16.93338245585846,0,0,91
7,no_timeout_control,cooperative_1000ms,480,1,13.693030902908106,16.93338245585846,0,0,91
7,no_timeout_control,cooperative_250ms,480,1,13.693030902908106,16.93338245585846,0,0,91
8,steady,no_cancel,471,0.39278131634819535,5.928175814359491,16.784696893922874,2.322054281417911,0.13834353376131817,62
8,steady,queued_only,471,0.3991507430997877,5.928175814359491,16.73785626928442,2.197437724261214,0.13128549372799453,62
8,steady,cooperative_1000ms,471,0.4968152866242038,5.816720743340511,16.07139491706073,0.6313038370872762,0.03928120989778617,48
8,steady,cooperative_250ms,471,0.5265392781316348,5.853561256466406,15.806623538823843,0.17144122821783217,0.010846163812071718,44
8,bursty,no_cancel,392,0.34183673469387754,5.842868520422911,16.975723102398888,6.762734557934756,0.3983768183034922,150
8,bursty,queued_only,392,0.42346938775510207,5.809223249743312,15.292718833060523,2.90731427461982,0.1901110133755059,112
8,bursty,cooperative_1000ms,392,0.4489795918367347,5.843953514327559,14.610625537729574,1.4071635711102144,0.09631097364561444,107
8,bursty,cooperative_250ms,392,0.45663265306122447,5.837455029308501,14.333895017258614,0.38946025814745766,0.027170581176890935,95
8,no_timeout_control,no_cancel,443,1,11.047619334938219,16.596066717462094,0,0,77
8,no_timeout_control,queued_only,443,1,11.047619334938219,16.596066717462094,0,0,77
8,no_timeout_control,cooperative_1000ms,443,1,11.047619334938219,16.596066717462094,0,0,77
8,no_timeout_control,cooperative_250ms,443,1,11.047619334938219,16.596066717462094,0,0,77
9,steady,no_cancel,438,0.4269406392694064,5.944471858309466,17.021718583964653,2.9307546780738725,0.1721773664402369,65
9,steady,queued_only,438,0.4406392694063927,5.9477751432926915,16.855259038357254,2.3898268917165977,0.1417852366598523,65
9,steady,cooperative_1000ms,438,0.5182648401826484,5.855941658150272,16.130364987613113,0.6579183796666842,0.040787569293807995,56
9,steady,cooperative_250ms,438,0.54337899543379,5.850639074766491,15.855562726567424,0.18156784470002565,0.01145136554477454,51
9,bursty,no_cancel,364,0.4010989010989011,5.8482725572586105,16.827132230523414,4.964926690427639,0.295054833016737,118
9,bursty,queued_only,364,0.42857142857142855,5.9035443432674555,15.6239393486492,2.904139448276751,0.1858775423707616,103
9,bursty,cooperative_1000ms,364,0.4532967032967033,5.863176813194077,14.95410210346681,1.301553515934979,0.08703655404581194,95
9,bursty,cooperative_250ms,364,0.4725274725274725,5.870473810011532,14.648231746127975,0.3345112302223001,0.02283628741132682,88
9,no_timeout_control,no_cancel,454,1,11.173493468545775,17.0011482841701,0,0,57
9,no_timeout_control,queued_only,454,1,11.173493468545775,17.0011482841701,0,0,57
9,no_timeout_control,cooperative_1000ms,454,1,11.173493468545775,17.0011482841701,0,0,57
9,no_timeout_control,cooperative_250ms,454,1,11.173493468545775,17.0011482841701,0,0,57
10,steady,no_cancel,434,0.5599078341013825,5.837209237633147,16.53559886741049,2.0634745708524393,0.12478982995404411,76
10,steady,queued_only,434,0.5806451612903226,5.840158524856157,16.42028974504476,1.499685942269554,0.09133127158868329,72
10,steady,cooperative_1000ms,434,0.631336405529954,5.866818311769904,15.885517552721279,0.5098037529113851,0.03209236030361837,69
10,steady,cooperative_250ms,434,0.6405529953917051,5.854933380498721,15.684101812069292,0.13678802572360785,0.008721444642647383,62
10,bursty,no_cancel,379,0.31398416886543534,5.736595835765456,16.598804222758336,7.253267484380377,0.4369753017771935,156
10,bursty,queued_only,379,0.37994722955145116,5.674836144359986,15.021639992300328,3.894518873625624,0.25926056513282475,143
10,bursty,cooperative_1000ms,379,0.41160949868073876,5.778496212901246,14.206242269568337,1.6318413355058323,0.11486790838429202,135
10,bursty,cooperative_250ms,379,0.43271767810026385,5.8315633777747635,13.912431004660178,0.41435996435749767,0.029783433550808022,125
10,no_timeout_control,no_cancel,457,1,11.665423713592531,16.826823334261857,0,0,77
10,no_timeout_control,queued_only,457,1,11.665423713592531,16.826823334261857,0,0,77
10,no_timeout_control,cooperative_1000ms,457,1,11.665423713592531,16.826823334261857,0,0,77
10,no_timeout_control,cooperative_250ms,457,1,11.665423713592531,16.826823334261857,0,0,77
11,steady,no_cancel,434,0.5023041474654378,5.893731116490358,16.827542114829008,2.3536525338684036,0.1398690621486714,78
11,steady,queued_only,434,0.5207373271889401,5.878232641893135,16.653087860036457,1.4947289976754743,0.08975686732924029,78
11,steady,cooperative_1000ms,434,0.5622119815668203,5.857685934077885,16.117056819212998,0.5450516006709691,0.03381830856494953,77
