best_individual,dataset,delta_ci95_high,delta_ci95_low,method,mrr,ndcg10,ndcg10_delta_vs_best,queries,recall100
,scifact,,,unigram_bm25,0.6314814249333665,0.6604641499925745,,300,0.8858888888888888
,scifact,,,bigram_bm25,0.43767398292542786,0.4602618445967052,,300,0.6955
,scifact,,,raw_sum_scale_0p1,0.6399436371549035,0.6652685162831414,,300,0.8892222222222221
,scifact,,,raw_sum_scale_1,0.5805787501642278,0.6107091753750409,,300,0.882888888888889
,scifact,,,raw_sum_scale_10,0.4637502783592358,0.4889124545026625,,300,0.7722222222222221
unigram_bm25,scifact,-0.0473998117259868,-0.10765615626146731,minmax_sum,0.543541069909341,0.5830162186137388,-0.07744793137883571,300,0.8735555555555555
unigram_bm25,scifact,-0.05048368094054163,-0.10500158377939542,rrf_k10,0.5392222543690807,0.582442920315353,-0.07802122967722153,300,0.882888888888889
unigram_bm25,scifact,-0.08401678506410114,-0.15574979914486284,rrf_k60,0.5204712936718882,0.5397496053020115,-0.12071454469056296,300,0.8812222222222222
unigram_bm25,scifact,-0.08783873062865814,-0.1622521267262866,rrf_k100,0.5171447057511516,0.5356202481808138,-0.1248439018117607,300,0.8812222222222222
unigram_bm25,scifact,0.0,0.0,duplicate_rrf_control,0.6314814249333665,0.6604641499925745,0.0,300,0.8858888888888888
,nfcorpus,,,unigram_bm25,0.5188600276609102,0.3080565995364625,,323,0.2368894119132067
,nfcorpus,,,bigram_bm25,0.22555372923726172,0.12178585884904025,,323,0.0830850264482656
,nfcorpus,,,raw_sum_scale_0p1,0.5146398668332163,0.3086609541393717,,323,0.23767987630260518
,nfcorpus,,,raw_sum_scale_1,0.49346102712999435,0.295902118596994,,323,0.2368486670011762
,nfcorpus,,,raw_sum_scale_10,0.4650311474602931,0.2788665410208992,,323,0.2280982777809452
unigram_bm25,nfcorpus,-0.005783748883467201,-0.024991308825384872,minmax_sum,0.48608161010917594,0.2930563451133448,-0.015000254423117738,323,0.2366944020560744
unigram_bm25,nfcorpus,-0.006119100590222157,-0.023748118957963468,rrf_k10,0.4877228411605583,0.29332982274778385,-0.014726776788678677,323,0.239064310873179
unigram_bm25,nfcorpus,-0.008851547945303422,-0.030436015176921526,rrf_k60,0.4843465370860714,0.28852185521661466,-0.019534744319847874,323,0.23713155636284938
unigram_bm25,nfcorpus,-0.009152006834943374,-0.030160076381937607,rrf_k100,0.4841150138037685,0.28858821958971154,-0.019468379946750942,323,0.2347898701971
unigram_bm25,nfcorpus,0.0,0.0,duplicate_rrf_control,0.5188600276609102,0.3080565995364625,0.0,323,0.2368894119132067
