dataset,query_id,method,ndcg10,recall100,mrr
scifact,475,unigram_bm25,0.0,1.0,0.08333333333333333
scifact,478,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,491,unigram_bm25,1.0,1.0,1.0
scifact,501,unigram_bm25,1.0,1.0,1.0
scifact,502,unigram_bm25,0.0,0.0,0.0044444444444444444
scifact,507,unigram_bm25,1.0,1.0,1.0
scifact,508,unigram_bm25,0.0,1.0,0.02127659574468085
scifact,513,unigram_bm25,1.0,1.0,1.0
scifact,514,unigram_bm25,0.0,1.0,0.08333333333333333
scifact,516,unigram_bm25,1.0,1.0,1.0
scifact,517,unigram_bm25,0.0,1.0,0.04
scifact,521,unigram_bm25,1.0,1.0,1.0
scifact,525,unigram_bm25,1.0,1.0,1.0
scifact,527,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,528,unigram_bm25,1.0,1.0,1.0
scifact,532,unigram_bm25,1.0,1.0,1.0
scifact,533,unigram_bm25,1.0,1.0,1.0
scifact,535,unigram_bm25,0.0,0.0,0.0038022813688212928
scifact,536,unigram_bm25,1.0,1.0,1.0
scifact,539,unigram_bm25,1.0,1.0,1.0
scifact,540,unigram_bm25,0.20438239758848611,1.0,0.14285714285714285
scifact,544,unigram_bm25,0.0,1.0,0.09090909090909091
scifact,549,unigram_bm25,1.0,1.0,1.0
scifact,551,unigram_bm25,0.31546487678572877,1.0,0.125
scifact,552,unigram_bm25,1.0,1.0,1.0
scifact,554,unigram_bm25,0.3333333333333333,1.0,0.14285714285714285
scifact,560,unigram_bm25,0.0,0.0,0.0022371364653243847
scifact,569,unigram_bm25,1.0,1.0,1.0
scifact,575,unigram_bm25,0.0,1.0,0.0625
scifact,577,unigram_bm25,0.0,0.0,0.0
scifact,578,unigram_bm25,1.0,1.0,1.0
scifact,587,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,589,unigram_bm25,1.0,1.0,1.0
scifact,593,unigram_bm25,1.0,1.0,1.0
scifact,597,unigram_bm25,0.9217868789962071,1.0,1.0
scifact,598,unigram_bm25,0.3562071871080222,1.0,0.16666666666666666
scifact,613,unigram_bm25,1.0,1.0,1.0
scifact,619,unigram_bm25,0.2640681225725909,0.5,0.25
scifact,623,unigram_bm25,0.0,1.0,0.038461538461538464
scifact,628,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,636,unigram_bm25,0.5,1.0,0.3333333333333333
scifact,637,unigram_bm25,0.3562071871080222,1.0,0.16666666666666666
scifact,641,unigram_bm25,0.6131471927654584,1.0,1.0
scifact,644,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,649,unigram_bm25,0.43067655807339306,1.0,0.25
scifact,659,unigram_bm25,1.0,1.0,1.0
scifact,660,unigram_bm25,1.0,1.0,1.0
scifact,674,unigram_bm25,1.0,1.0,1.0
scifact,684,unigram_bm25,1.0,1.0,1.0
scifact,690,unigram_bm25,0.38685280723454163,1.0,0.2
scifact,691,unigram_bm25,1.0,1.0,1.0
scifact,692,unigram_bm25,1.0,1.0,1.0
scifact,693,unigram_bm25,1.0,1.0,1.0
scifact,700,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,702,unigram_bm25,0.5,1.0,0.3333333333333333
scifact,715,unigram_bm25,0.0,1.0,0.022222222222222223
scifact,716,unigram_bm25,0.0,0.0,0.0
scifact,718,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,721,unigram_bm25,1.0,1.0,1.0
scifact,723,unigram_bm25,1.0,1.0,1.0
scifact,727,unigram_bm25,0.5,1.0,0.3333333333333333
scifact,728,unigram_bm25,0.45749452618986164,1.0,0.25
scifact,729,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,742,unigram_bm25,1.0,1.0,1.0
scifact,743,unigram_bm25,1.0,1.0,1.0
scifact,744,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,756,unigram_bm25,0.2890648263178879,1.0,0.1
scifact,759,unigram_bm25,1.0,1.0,1.0
scifact,768,unigram_bm25,0.43067655807339306,1.0,0.25
scifact,770,unigram_bm25,1.0,1.0,1.0
scifact,775,unigram_bm25,0.0,0.0,0.0
scifact,781,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,783,unigram_bm25,0.0,1.0,0.03225806451612903
scifact,784,unigram_bm25,0.5,1.0,0.3333333333333333
scifact,785,unigram_bm25,0.6309297535714575,1.0,0.5
scifact,793,unigram_bm25,1.0,1.0,1.0
scifact,800,unigram_bm25,0.0,0.0,0.008547008547008548
scifact,805,unigram_bm25,1.0,1.0,1.0
