load_per_second,fault_shape,policy,repeat,requests,success_rate,attempt_amplification,p95_latency_seconds,peak_attempts_per_second,overload_failures,fault_failures,retries_denied,bad_tick_fraction
60,independent,exponential_full_jitter,10,18028,0.9998335921899267,1.0565786554248946,0.1,91,345,678,0,1.0
60,independent,budgeted_full_jitter,10,18028,0.9997781229199024,1.0538051919236744,0.1,94,336,638,0,1.0
60,independent,no_retry,11,18012,0.9483677548301133,1.0,0.0,90,233,697,0,1.0
60,independent,immediate_three,11,18012,0.9997224072840328,1.0591827670441927,0.1,102,375,696,0,1.0
60,independent,exponential_no_jitter,11,18012,0.9998334443704198,1.059737952476127,0.5,99,365,714,0,1.0
60,independent,exponential_full_jitter,11,18012,0.9999444814568066,1.0550743948478791,0.1,96,342,651,0,1.0
60,independent,budgeted_full_jitter,11,18012,0.9998334443704198,1.0559071729957805,0.1,99,331,679,0,1.0
60,independent,no_retry,12,18039,0.9504407117911192,1.0,0.0,87,222,672,0,1.0
60,independent,immediate_three,12,18039,0.9995565164366096,1.0551028327512613,0.1,107,339,663,0,1.0
60,independent,exponential_no_jitter,12,18039,0.9998336936637285,1.0567658961139752,0.5,93,340,687,0,1.0
60,independent,exponential_full_jitter,12,18039,0.9997782582183048,1.0561006707688896,0.1,102,317,699,0,1.0
60,independent,budgeted_full_jitter,12,18039,0.9999445645545761,1.0548256555241422,0.1,97,312,678,0,1.0
60,independent,no_retry,13,18151,0.9515729160927773,1.0,0.0,84,221,658,0,1.0
60,independent,immediate_three,13,18151,0.9999449066167153,1.0563605311002149,0.1,96,317,707,0,1.0
60,independent,exponential_no_jitter,13,18151,0.9997245330835767,1.0571869318494849,0.5,94,340,703,0,1.0
60,independent,exponential_full_jitter,13,18151,0.999834719850146,1.053330395019558,0.1,92,311,660,0,1.0
60,independent,budgeted_full_jitter,13,18151,0.9998898132334306,1.0564156244834995,0.1,95,336,690,0,1.0
60,independent,no_retry,14,17770,0.9509285312324142,1.0,0.0,85,262,610,0,1.0
60,independent,immediate_three,14,17770,0.9998874507597074,1.054136184580754,0.1,102,383,581,0,1.0
60,independent,exponential_no_jitter,14,17770,0.9998874507597074,1.060213843556556,0.5,93,397,675,0,1.0
60,independent,exponential_full_jitter,14,17770,0.9996060776589758,1.0588632526730444,0.1,100,374,679,0,1.0
60,independent,budgeted_full_jitter,14,17770,1.0,1.0554867754642656,0.1,99,356,630,0,1.0
60,independent,no_retry,15,18263,0.9525817226085528,1.0,0.0,93,262,604,0,1.0
60,independent,immediate_three,15,18263,0.9995072003504353,1.06181897826206,0.1,115,449,689,0,1.0
60,independent,exponential_no_jitter,15,18263,0.9997262224169084,1.0573290258993593,0.5,97,386,666,0,1.0
60,independent,exponential_full_jitter,15,18263,0.9997809779335268,1.0575480479658326,0.1,103,386,669,0,1.0
60,independent,budgeted_full_jitter,15,18263,0.9996167113836719,1.0578765810655424,0.1,108,377,687,3,1.0
60,independent,no_retry,16,18079,0.9531500636097129,1.0,0.0,89,223,624,0,1.0
60,independent,immediate_three,16,18079,0.9996128104430555,1.054483101941479,0.1,113,373,619,0,1.0
60,independent,exponential_no_jitter,16,18079,1.0,1.0565849881077494,0.5,97,339,684,0,1.0
60,independent,exponential_full_jitter,16,18079,0.9997234360307539,1.0560871729631063,0.1,103,323,696,0,1.0
60,independent,budgeted_full_jitter,16,18079,0.9997234360307539,1.0568615520769955,0.1,103,352,681,0,1.0
60,independent,no_retry,17,18044,0.9494014630902239,1.0,0.0,86,250,663,0,1.0
60,independent,immediate_three,17,18044,0.9999445799157615,1.0611283529150963,0.1,105,397,707,0,1.0
60,independent,exponential_no_jitter,17,18044,0.9997783196630459,1.0584127687874085,0.5,96,376,682,0,1.0
60,independent,exponential_full_jitter,17,18044,0.9998337397472844,1.055420084238528,0.1,100,365,638,0,1.0
60,independent,budgeted_full_jitter,17,18044,0.9999445799157615,1.0526490800266017,0.1,100,335,616,0,1.0
60,independent,no_retry,18,17903,0.9538066245880579,1.0,0.0,91,222,605,0,1.0
60,independent,immediate_three,18,17903,0.9995531475171759,1.0566385521979555,0.1,105,362,660,0,1.0
60,independent,exponential_no_jitter,18,17903,0.999832430318941,1.0549069988270123,0.5,93,334,652,0,1.0
60,independent,exponential_full_jitter,18,17903,0.999888286879294,1.053957437301011,0.1,108,325,643,0,1.0
60,independent,budgeted_full_jitter,18,17903,0.999888286879294,1.0561916997151315,0.1,103,342,666,0,1.0
60,independent,no_retry,19,17952,0.9542669340463458,1.0,0.0,89,219,602,0,1.0
60,independent,immediate_three,19,17952,0.999777183600713,1.0563168449197862,0.1,96,326,689,0,1.0
60,independent,exponential_no_jitter,19,17952,0.9999442959001783,1.0524732620320856,0.0,95,318,625,0,1.0
60,independent,exponential_full_jitter,19,17952,0.9998885918003565,1.0562611408199643,0.1,100,318,694,0,1.0
