model,pattern,rate,repeat,policy,throughput_rps,drop_rate,p50_ms,p95_ms,p99_ms,slo_attainment,mean_batch_size
batch-efficient,poisson,90,14,b8-5ms,89.48,0,11.400000000001455,12.724044472855894,13.583389030092803,1,1.4016116454380037
batch-efficient,poisson,90,14,b16-5ms,89.48,0,11.400000000001455,12.724044472855894,13.583389030092803,1,1.4016116454380037
batch-efficient,poisson,90,14,b16-10ms,89.48,0,12.85465357357316,17.48504251527629,17.941887789405882,1,1.6359223300970873
batch-efficient,poisson,90,15,single,92.36,0,8.924084260725067,26.650204030003806,42.3533744645174,0.9423993070593331,1
batch-efficient,poisson,90,15,b4-now,92.36,0,6.987484570730885,12.628767987836909,13.367533309668943,1,1.141028288251084
batch-efficient,poisson,90,15,b4-2ms,92.36,0,8.400000000001455,12.59390266304581,13.49075344492303,1,1.2522093813732156
batch-efficient,poisson,90,15,b8-2ms,92.36,0,8.400000000001455,12.591476929854252,13.481438274247921,1,1.2524932003626472
batch-efficient,poisson,90,15,b8-5ms,92.36,0,11.400000000001455,12.621737142533675,13.570082920872665,1,1.4061068702290076
batch-efficient,poisson,90,15,b16-5ms,92.36,0,11.400000000001455,12.621737142533675,13.570082920872665,1,1.4061068702290076
batch-efficient,poisson,90,15,b16-10ms,92.36,0,12.729919254459674,17.48504251527629,17.941887789405882,1,1.6387900355871887
batch-efficient,poisson,90,16,single,92.38,0,8.441708144506265,23.773133345010137,34.94561735579009,0.9586490582377137,1
batch-efficient,poisson,90,16,b4-now,92.38,0,6.791352686661412,12.641832257751958,13.381098040870711,1,1.1391538780588968
batch-efficient,poisson,90,16,b4-2ms,92.38,0,8.400000000001455,12.608066727356345,13.51598283986823,1,1.2377196935556558
batch-efficient,poisson,90,16,b8-2ms,92.38,0,8.400000000001455,12.603491438108904,13.476912897091097,1,1.237998647734956
batch-efficient,poisson,90,16,b8-5ms,92.38,0,11.400000000001455,12.63079031471716,13.364174257352715,1,1.3846735568439628
batch-efficient,poisson,90,16,b16-5ms,92.38,0,11.400000000001455,12.63079031471716,13.364174257352715,1,1.3846735568439628
batch-efficient,poisson,90,16,b16-10ms,92.38,0,12.829467972762359,17.48504251527629,17.941887789405882,1,1.6280379371665679
batch-efficient,poisson,90,17,single,90.12,0,7.992686067867908,23.409148133621784,34.32890762367606,0.9629383044829116,1
batch-efficient,poisson,90,17,b4-now,90.12,0,6.400000000001455,12.575547861928499,13.365253681397007,1,1.1343501880484748
batch-efficient,poisson,90,17,b4-2ms,90.12,0,8.400000000001455,12.521089817098982,13.365287108281336,1,1.2307866696894127
batch-efficient,poisson,90,17,b8-2ms,90.12,0,8.400000000001455,12.521089817098982,13.356937260925406,1,1.2310657596371881
batch-efficient,poisson,90,17,b8-5ms,90.12,0,11.400000000001455,12.705460866040085,13.450259672907123,1,1.380371217899822
batch-efficient,poisson,90,17,b16-5ms,90.12,0,11.400000000001455,12.705460866040085,13.450259672907123,1,1.380371217899822
batch-efficient,poisson,90,17,b16-10ms,90.12,0,13.01628844809602,17.48504251527629,17.941887789405882,1,1.6332731648616126
batch-efficient,poisson,90,18,single,88.32,0,7.395937772227626,20.362558808872564,28.398028850511764,0.9784873188405797,1
batch-efficient,poisson,90,18,b4-now,88.32,0,6.400000000001455,12.533099156091339,13.257076672867697,1,1.1235668789808917
batch-efficient,poisson,90,18,b4-2ms,88.32,0,8.400000000001455,12.493573187202855,13.263272551965201,1,1.217111315547378
