scenario,repeat,policy,allCoverage,allMeanWidth,routineCoverage,routineMeanWidth,criticalCoverage,criticalMeanWidth,coverageGap,criticalCount
exchangeable_rare_noisy,0,pooled,0.9091666666666667,1.8250351777049247,0.9315476190476191,1.82503517770487,0.4652777777777778,1.8250351777047915,0.4662698412698413,576
exchangeable_rare_noisy,0,pooled_95,0.9514166666666667,2.206302345136315,0.9726015406162465,2.2063023451362618,0.53125,2.2063023451359394,0.4413515406162465,576
exchangeable_rare_noisy,0,mondrian,0.9065,1.8235890016791625,0.9089635854341737,1.687434363233575,0.8576388888888888,4.523989330850615,0.05132469654528482,576
exchangeable_rare_noisy,0,max_slice,0.9931666666666666,4.523989330851443,1,4.523989330851339,0.8576388888888888,4.523989330850615,0.14236111111111116,576
exchangeable_rare_noisy,0,oracle_normalized,0.9046666666666666,1.8223329967833182,0.904936974789916,1.6627125883059433,0.8993055555555556,4.988137764917158,0.005631419234360391,576
exchangeable_rare_noisy,1,pooled,0.9039166666666667,1.7728954584877599,0.9271354578175752,1.7728954584876895,0.4696223316912972,1.7728954584876848,0.45751312612627804,609
exchangeable_rare_noisy,1,pooled_95,0.9515,2.200447722185077,0.9735756298832412,2.2004477221850625,0.5385878489326765,2.2004477221845966,0.4349877809505647,609
exchangeable_rare_noisy,1,mondrian,0.9001666666666667,1.8016423538139927,0.9013256079360898,1.6393207401254883,0.8784893267651889,4.837776182259861,0.022836281170900974,609
exchangeable_rare_noisy,1,max_slice,0.9938333333333333,4.837776182261084,1,4.83777618226098,0.8784893267651889,4.837776182259861,0.12151067323481113,609
exchangeable_rare_noisy,1,oracle_normalized,0.8996666666666666,1.803594741247204,0.9006232990957773,1.6373987664522762,0.8817733990147784,4.912196299357822,0.01884990008099896,609
exchangeable_rare_noisy,2,pooled,0.8981666666666667,1.7432003247071768,0.922048213971494,1.7432003247070975,0.47003154574132494,1.7432003247068817,0.452016668230169,634
exchangeable_rare_noisy,2,pooled_95,0.9534166666666667,2.21180116824663,0.9754531057540031,2.211801168246615,0.5583596214511041,2.2118011682462058,0.41709348430289905,634
exchangeable_rare_noisy,2,mondrian,0.89325,1.7812988784423596,0.8911666373394334,1.5836123202749475,0.9305993690851735,5.325313736692032,-0.039432731745740135,634
exchangeable_rare_noisy,2,max_slice,0.9963333333333333,5.325313736691903,1,5.325313736691904,0.9305993690851735,5.325313736692032,0.06940063091482651,634
exchangeable_rare_noisy,2,oracle_normalized,0.89425,1.7616326446729675,0.8939820517332395,1.5932764347360753,0.8990536277602523,4.779829304208608,-0.005071576027012803,634
exchangeable_rare_noisy,3,pooled,0.892,1.7585608524753218,0.9170409511228533,1.7585608524753369,0.4511627906976744,1.7585608524755134,0.46587816042517893,645
exchangeable_rare_noisy,3,pooled_95,0.9435833333333333,2.161548491255602,0.9667107001321004,2.161548491255664,0.5364341085271318,2.1615484912560934,0.43027659160496856,645
exchangeable_rare_noisy,3,mondrian,0.8965833333333333,1.8156632152509122,0.8965213562307354,1.638301533983635,0.8976744186046511,4.93805374360315,-0.0011530623739157697,645
exchangeable_rare_noisy,3,max_slice,0.9945,4.938053743602443,1,4.93805374360253,0.8976744186046511,4.93805374360315,0.10232558139534886,645
exchangeable_rare_noisy,3,oracle_normalized,0.8965,1.8141298839256512,0.8965213562307354,1.6380405272466356,0.896124031007752,4.914121581740201,0.00039732522298341344,645
exchangeable_rare_noisy,4,pooled,0.9039166666666667,1.791571306721813,0.9286217215279,1.7915713067217351,0.46394984326018807,1.7915713067213854,0.46467187826771195,638
